TourId iBest gBest time(ms)
2307 4576.1028099438 3767.8558174232 1382
2308 4613.3228174880 3767.8558174232 1380
2309 4555.1967569010 3767.8558174232 1389
2310 4563.2941242458 3767.8558174232 1361
2311 4562.6601819606 3767.8558174232 1355
2312 4624.9326187128 3767.8558174232 1357
2313 4516.8108425451 3767.8558174232 1368
2314 4539.7382718855 3767.8558174232 1364
2315 4643.9105938473 3767.8558174232 1358
2316 4549.8447188338 3767.8558174232 1361
2317 4707.7910029726 3767.8558174232 1365
2318 4607.1834544404 3767.8558174232 1356
2319 4730.5797696231 3767.8558174232 1347
2320 4580.3490459013 3767.8558174232 1350
2321 4477.5787186451 3767.8558174232 1346
2322 4516.5181475859 3767.8558174232 1349
2323 4413.0055484429 3767.8558174232 1348
2324 4587.1260224150 3767.8558174232 1355
2325 4513.3288206044 3767.8558174232 1358
2326 4686.7162390990 3767.8558174232 1349
2327 4640.4016007926 3767.8558174232 1344
2328 4780.6059033590 3767.8558174232 1384
2329 4510.9425623336 3767.8558174232 1387
2330 4523.8950537786 3767.8558174232 1380
2331 4637.3527241045 3767.8558174232 1373
2332 4536.6429370790 3767.8558174232 1386
2333 4521.3629157602 3767.8558174232 1375
2334 4571.5918244853 3767.8558174232 1365
2335 4715.5385193564 3767.8558174232 1373
2336 4508.1879239007 3767.8558174232 1385
2337 4665.6765797446 3767.8558174232 1370
2338 4565.9228040372 3767.8558174232 1370
2339 4576.9479928666 3767.8558174232 1367
2340 4652.3701049696 3767.8558174232 1376
2341 4530.8310625428 3767.8558174232 1389
2342 4499.7531865048 3767.8558174232 1361
2343 4690.8023290637 3767.8558174232 1360
2344 4693.2829515435 3767.8558174232 1354
2345 4500.9057212061 3767.8558174232 1351
2346 4751.7371706490 3767.8558174232 1347
2347 4619.2756331764 3767.8558174232 1362
2348 4546.7581809195 3767.8558174232 1373
2349 4517.9378030024 3767.8558174232 1375
2350 4649.2072168082 3767.8558174232 1362
2351 4463.3875442566 3767.8558174232 1360
2352 4664.2871161260 3767.8558174232 1347
2353 4569.1044585470 3767.8558174232 1388
2354 4565.3882728154 3767.8558174232 1420
2355 4530.6125601331 3767.8558174232 1386
2356 4632.3494049464 3767.8558174232 1384
2357 4504.2639594753 3767.8558174232 1385
2358 4556.5894737372 3767.8558174232 1389
2359 4489.3094912420 3767.8558174232 1396
2360 4676.8189440518 3767.8558174232 1383
2361 4567.9641262988 3767.8558174232 1380
2362 4596.6324462691 3767.8558174232 1385
2363 4612.5486806359 3767.8558174232 1379
2364 4499.0653357814 3767.8558174232 1356
2365 4566.9530250028 3767.8558174232 1356
2366 4493.2759789203 3767.8558174232 1354
2367 4653.9605770803 3767.8558174232 1349
2368 4528.2461240140 3767.8558174232 1354
2369 4599.5065215648 3767.8558174232 1386
2370 4675.5193616405 3767.8558174232 1391
2371 4513.4010709871 3767.8558174232 1397
2372 4535.0897168737 3767.8558174232 1355
2373 4575.5902771609 3767.8558174232 1357
2374 4565.6618964817 3767.8558174232 1363
2375 4651.1948244970 3767.8558174232 1370
2376 4600.4592578783 3767.8558174232 1381
2377 4467.4202987548 3767.8558174232 1361
2378 4739.6281672368 3767.8558174232 1360
2379 4614.2213876886 3767.8558174232 1354
2380 4480.7579931130 3767.8558174232 1366
2381 4569.5773181331 3767.8558174232 1399
2382 4599.1187986634 3767.8558174232 1400
2383 4614.7584837679 3767.8558174232 1397
2384 4568.1461401529 3767.8558174232 1382
2385 4493.4092871060 3767.8558174232 1373
2386 4576.8801435311 3767.8558174232 1376
2387 4607.5281654832 3767.8558174232 1350
2388 4593.3366000365 3767.8558174232 1365
2389 4432.6657065802 3767.8558174232 1388
2390 4586.6839571593 3767.8558174232 1396
2391 4598.3916007349 3767.8558174232 1397
2392 4612.6236330571 3767.8558174232 1370
2393 4630.6774890881 3767.8558174232 1387
2394 4605.3703014847 3767.8558174232 1405
2395 4623.4175939381 3767.8558174232 1401
2396 4409.3982480990 3767.8558174232 1389
2397 4586.9521830205 3767.8558174232 1397
2398 4655.3919372671 3767.8558174232 1378
2399 3788.5025480057 3767.8558174232 14059
2400 4617.5931521905 3767.8558174232 1352
